gene	cpm_P1	cpm_P2	cpm_C1	P1_C1_log2FC	P1_C1_pvalue	P1_C1_padj	P2_C1_log2FC	P2_C1_pvalue	P2_C1_padj
PTP4A2	279.9	284	282.9	-0.02	0.5401	0.6572	0.05	0.1642	0.2426
KHDRBS1	185.1	170.2	233	-0.32	2.201e-10	1.577e-09	-0.37	2.265e-14	1.763e-13
TMEM39B	14.4	14.2	15.7	-0.07	0.3716	0.497	-0.05	0.5596	0.6527
KPNA6	69.9	73.1	66.4	0.05	0.3746	0.5004	0.16	0.005691	0.01308
TXLNA	51	57.3	58.8	-0.18	0.006854	0.01718	0.01	0.8095	0.8595
CCDC28B	27.5	27.6	22	0.21	0.004955	0.01286	0.26	0.0003222	0.0009334
IQCC	1.4	0.9	1.3	0.02	0.685	0.7779	-0.03	0.4316	0.5318
TMEM234	17.6	15.9	15.9	0.08	0.3017	0.4236	0.03	0.6966	0.7693
EIF3I	106.7	98.6	121.7	-0.18	0.001182	0.003577	-0.22	4.206e-05	0.0001383
FAM167B	4.7	5	7.3	-0.21	0.005264	0.01355	-0.17	0.02432	0.04743
HDAC1	27.5	24.6	44.7	-0.52	1.586e-13	1.476e-12	-0.58	1.119e-17	1.058e-16
MARCKSL1	209.9	192.6	76.8	1.31	4.85e-101	4.439e-99	1.25	3.228e-95	2.043e-93
FAM229A	6.8	5.8	5.5	0.09	0.1976	0.3033	0.04	0.6198	0.7062
BSDC1	32	30.2	28	0.13	0.06227	0.1164	0.12	0.08852	0.1446
ZBTB8A	5.9	5.6	6.5	-0.05	0.5306	0.649	-0.06	0.4491	0.5488
ZBTB8OS	37	38.3	32.4	0.14	0.05056	0.09778	0.22	0.0008364	0.002267
RBBP4	56.2	53.8	62.4	-0.13	0.04375	0.08639	-0.13	0.03357	0.06289
SYNC	70.8	99.1	74.1	-0.06	0.3544	0.4788	0.41	1.129e-12	7.848e-12
KIAA1522	10.3	13.6	11.5	-0.08	0.3243	0.4473	0.15	0.04035	0.07397
YARS	42.8	62.6	47.1	-0.11	0.09286	0.1627	0.39	3.332e-10	1.911e-09
S100PBP	21.4	21.9	22.6	-0.06	0.4629	0.5848	0	0.9407	0.9575
TMEM54	46.7	50.9	51.2	-0.11	0.08424	0.15	0.04	0.5083	0.6062
RNF19B	3.9	4.8	3.2	0.07	0.2934	0.4145	0.15	0.01498	0.03102
AK2	67.2	66.3	76.2	-0.16	0.008783	0.02134	-0.12	0.04033	0.07395
AZIN2	3.1	3.6	2.2	0.08	0.1557	0.2499	0.15	0.01214	0.02578
TRIM62	2.5	2.9	2.1	0.04	0.4743	0.5954	0.09	0.1148	0.1806
ZNF362	15.4	14.6	11	0.25	0.00162	0.004737	0.24	0.001899	0.004812
PHC2	27.4	34.2	19.3	0.32	1.315e-05	5.583e-05	0.6	1.748e-17	1.641e-16
ZSCAN20	3.1	3.2	2.6	0.05	0.4393	0.5636	0.07	0.2201	0.3092
CSMD2	4	2.4	2.2	0.16	0.007875	0.01942	0.02	0.6591	0.7393
SMIM12	87.9	86.2	84.1	0.05	0.3928	0.5177	0.08	0.1639	0.2422
TMEM35B	8.8	9.8	9.7	-0.06	0.4203	0.5449	0.03	0.7015	0.7732
ZMYM6	4.2	6.7	4.2	0	0.9587	0.9742	0.22	0.001501	0.003891
ZMYM1	8.9	7.6	8.8	0	0.9524	0.97	-0.07	0.388	0.4885
SFPQ	137.9	121.3	155.5	-0.17	0.002455	0.006886	-0.28	1.655e-07	7.388e-07
ZMYM4	24.6	28.4	24.6	0	0.9593	0.9744	0.18	0.01155	0.02464
KIAA0319L	21.8	26.5	16.3	0.25	0.001001	0.003074	0.48	5.56e-11	3.394e-10
NCDN	15.7	18.7	11.5	0.23	0.003518	0.009491	0.41	3.722e-08	1.775e-07
PSMB2	86.5	84.8	87.5	-0.02	0.7771	0.8484	0.01	0.812	0.8613
C1orf216	27	21.3	23	0.15	0.03902	0.07847	-0.03	0.6616	0.7412
CLSPN	46.2	35.7	59.2	-0.29	6.011e-05	0.0002306	-0.53	1.644e-13	1.206e-12
AGO4	5	4.9	5.9	-0.08	0.2879	0.408	-0.07	0.3695	0.4693
AGO1	17.7	22.2	14.7	0.14	0.0593	0.1117	0.38	1.883e-07	8.354e-07
AGO3	26.2	18.8	21.7	0.17	0.02042	0.04496	-0.09	0.2185	0.3075
ADPRHL2	24.8	27.4	30.6	-0.21	0.003957	0.01056	-0.08	0.2998	0.3971
COL8A2	3.4	0.9	1.5	0.18	0.001901	0.005476	-0.06	0.1634	0.2417
TRAPPC3	118.2	115.4	94.3	0.28	1.769e-07	9.579e-07	0.3	5.56e-09	2.877e-08
MAP7D1	137.3	149.9	124.4	0.12	0.01974	0.04372	0.29	1.026e-08	5.176e-08
THRAP3	85.1	75.1	97.5	-0.18	0.003286	0.008918	-0.28	1.293e-06	5.199e-06
SH3D21	1.4	2	1.6	-0.02	0.678	0.7725	0.04	0.4024	0.5033
EVA1B	86.8	116.2	129	-0.52	4.643e-20	6.243e-19	-0.09	0.0719	0.1215
AL591845.1	1.1	1.7	0.7	0.05	0.2316	0.3438	0.11	0.007034	0.01578
STK40	12.1	14.5	11.2	0.05	0.5303	0.6489	0.22	0.004103	0.009719
LSM10	143.3	160.1	118.3	0.24	1.548e-06	7.506e-06	0.44	5.863e-20	6.119e-19
OSCP1	4.1	4.5	4.4	-0.03	0.7078	0.7955	0.03	0.7039	0.7753
MRPS15	189.8	207.6	228.1	-0.26	6.301e-10	4.373e-09	-0.08	0.03949	0.07264
LINC01137	7.4	9	3.2	0.34	1.5e-06	7.291e-06	0.48	9.822e-12	6.336e-11
ZC3H12A	3	2.4	2.2	0.08	0.202	0.3088	0.03	0.5895	0.6792
MEAF6	73.6	82.3	79.8	-0.11	0.06785	0.125	0.09	0.1153	0.1813
SNIP1	7.5	6.6	7.7	-0.02	0.8354	0.8903	-0.06	0.4169	0.5179
DNALI1	4.3	7.2	3.3	0.09	0.1917	0.2954	0.34	6.457e-07	2.694e-06
GNL2	23.4	26	24.6	-0.05	0.4798	0.6002	0.09	0.2033	0.29
C1orf109	9.7	11.5	7.1	0.17	0.0234	0.05063	0.32	1.98e-05	6.839e-05
CDCA8	41.9	36.7	53.2	-0.28	0.0004587	0.001508	-0.38	1.448e-06	5.789e-06
MANEAL	1	1.2	0.9	0.01	0.8187	0.8784	0.04	0.2814	0.3772
YRDC	15.4	16.6	15.2	0	0.9244	0.9514	0.1	0.17	0.2495
C1orf122	309	319.6	261	0.22	1.299e-08	7.962e-08	0.32	5.898e-17	5.383e-16
MTF1	18	18.4	17.7	0.01	0.8667	0.9128	0.07	0.3493	0.4492
INPP5B	4	5.6	6.5	-0.2	0.004874	0.01269	-0.06	0.4491	0.5488
SF3A3	34.4	30	34.5	-0.01	0.9091	0.9412	-0.1	0.1261	0.195
FHL3	35.5	53.6	41	-0.16	0.01894	0.04223	0.36	1.81e-08	8.885e-08
UTP11	21.5	29	29.5	-0.31	3.343e-05	0.0001335	0.02	0.7364	0.8
RRAGC	57	75.6	61	-0.09	0.1704	0.269	0.31	2.223e-07	9.78e-07
AL139260.1	10.3	13.3	10.6	-0.02	0.7555	0.8324	0.19	0.01209	0.02571
MYCBP	13	11.7	16.2	-0.17	0.03272	0.06758	-0.22	0.004671	0.01093
RHBDL2	4.5	5	4.1	0.03	0.6589	0.7574	0.09	0.1761	0.257
AKIRIN1	70	97	58.6	0.21	0.0009318	0.002875	0.67	3.064e-30	4.68e-29
NDUFS5	422.7	410.3	365.2	0.2	3.101e-09	2.014e-08	0.22	1.181e-10	7.04e-10
MACF1	137.8	163.8	124.5	0.12	0.02548	0.05444	0.4	2.768e-15	2.272e-14
PABPC4	102.9	145.3	96.7	0.07	0.2012	0.3079	0.58	4.217e-30	6.417e-29
PPIE	18.9	17.5	22.6	-0.17	0.03327	0.06857	-0.19	0.01053	0.02275
OXCT2	0.7	0.2	4	-0.33	8.069e-09	5.052e-08	-0.38	3.154e-13	2.274e-12
TRIT1	7.5	7.6	5.8	0.12	0.1002	0.1735	0.15	0.0343	0.06412
MFSD2A	1.7	2.9	2.1	-0.04	0.4548	0.5779	0.09	0.1401	0.2127
CAP1	315.3	355.4	289.9	0.11	0.004991	0.01294	0.33	4.153e-20	4.38e-19
PPT1	22.3	21.6	28.2	-0.23	0.002196	0.006239	-0.22	0.002518	0.006222
RLF	12.2	9.9	9.6	0.15	0.04882	0.09496	0.04	0.5352	0.6299
AL050341.2	5.2	5.5	4.8	0.03	0.6678	0.7646	0.08	0.2665	0.361
ZMPSTE24	37.3	38.2	33.7	0.1	0.1304	0.2158	0.18	0.006552	0.01481
SMAP2	20.1	42.2	22.1	-0.09	0.2418	0.3554	0.7	3.89e-25	5.039e-24
ZFP69B	2	4.2	1.8	0.02	0.6927	0.7834	0.24	5.296e-05	0.0001714
ZFP69	3.4	2.9	4.4	-0.09	0.1857	0.2878	-0.12	0.0599	0.1039
AL603839.3	1	0.7	1.3	-0.04	0.3967	0.5215	-0.07	0.09751	0.1571
EXO5	3.4	5.4	4.2	-0.08	0.2619	0.3785	0.12	0.07582	0.127
ZNF684	2.7	2.5	2.1	0.05	0.3537	0.478	0.05	0.3542	0.4539
NFYC-AS1	1.1	1.5	1.5	-0.05	0.3382	0.4624	0.01	0.8743	0.9086
NFYC	18	19.6	23.6	-0.25	0.001425	0.004238	-0.14	0.06634	0.1136
CITED4	8.9	9.3	2	0.56	3.316e-16	3.652e-15	0.61	1.066e-19	1.1e-18
CTPS1	39.2	33.6	30.5	0.26	0.0001494	0.0005366	0.15	0.03273	0.0615
SCMH1	26.7	24.5	24.8	0.07	0.3484	0.4722	0.02	0.7045	0.7758
HIVEP3	14.8	15	7.9	0.41	8.433e-08	4.764e-07	0.47	5.804e-10	3.262e-09
FOXJ3	26.5	26.4	26.4	0	0.985	0.9913	0.04	0.5697	0.6619
PPCS	46.5	54.9	51.5	-0.12	0.06265	0.1169	0.12	0.05217	0.09217
PPIH	25.2	21	35.1	-0.34	3.014e-06	1.402e-05	-0.47	3.795e-11	2.345e-10
YBX1	1827.1	1911.3	1564.2	0.21	4.792e-17	5.552e-16	0.33	1.625e-41	3.584e-40
P3H1	61.9	52.1	49	0.27	3.337e-05	0.0001333	0.12	0.05963	0.1035
C1orf50	14	14.3	14.1	-0.01	0.8899	0.929	0.04	0.5958	0.6847
AC098484.3	2.8	3	3	-0.03	0.6756	0.7705	0	0.9558	0.968
SVBP	35.8	38.5	40.3	-0.13	0.05777	0.1093	-0.01	0.9391	0.9564
ERMAP	5.2	5.2	7.2	-0.16	0.03629	0.07382	-0.14	0.05786	0.1008
ZNF691	4.7	3.5	4.1	0.05	0.5011	0.6217	-0.05	0.4656	0.5647
SLC2A1	33.1	47.6	16.4	0.65	1.246e-18	1.552e-17	1.1	2.559e-58	8.434e-57
SLC2A1-AS1	2.2	5.6	1.6	0.05	0.2878	0.408	0.38	9.783e-10	5.399e-09
EBNA1BP2	93.4	115.5	133.5	-0.47	5.09e-16	5.539e-15	-0.14	0.009888	0.0215
AL139289.2	0.6	0.7	1.4	-0.08	0.03941	0.07907	-0.06	0.1284	0.1979
CDC20	73.3	58.4	101.8	-0.43	5.763e-08	3.305e-07	-0.64	1.102e-16	9.867e-16
ELOVL1	102.9	110.3	120.9	-0.21	6.695e-05	0.0002548	-0.07	0.1693	0.2487
MED8	50.4	62.5	61.9	-0.25	0.0001381	0.000499	0.06	0.3249	0.424
SZT2	14.6	13.1	12.3	0.12	0.1154	0.195	0.07	0.3257	0.4247
HYI	66.7	88.4	74.7	-0.15	0.02023	0.04461	0.26	1.011e-05	3.634e-05
PTPRF	35.8	33.8	31.8	0.12	0.08266	0.1478	0.1	0.119	0.1859
KDM4A	9	9.2	7.3	0.11	0.1376	0.2257	0.16	0.03784	0.06998
KDM4A-AS1	2	1.2	2.9	-0.09	0.1278	0.2122	-0.17	0.002385	0.005931
ST3GAL3	12.8	10.2	10.9	0.11	0.1484	0.2401	-0.02	0.8311	0.8759
IPO13	15.3	16.6	13.6	0.09	0.2521	0.3672	0.19	0.01147	0.0245
DPH2	11.5	15.3	12.5	-0.06	0.457	0.58	0.19	0.0133	0.02793
ATP6V0B	212.3	256.6	201.8	0.06	0.1806	0.2819	0.37	1.442e-19	1.477e-18
B4GALT2	46.1	48.2	47.2	-0.03	0.6274	0.7312	0.07	0.2901	0.3865
CCDC24	3.9	5.5	5.7	-0.14	0.04081	0.08144	0.01	0.929	0.9495
SLC6A9	9.8	7.4	8.9	0.05	0.4874	0.6078	-0.08	0.2613	0.3561
AL139220.2	13.4	9	9.4	0.24	0.00188	0.005416	0	0.9839	0.9897
DMAP1	17	14.7	20.3	-0.16	0.04318	0.08553	-0.24	0.001736	0.004442
ERI3	73.2	72.1	79.3	-0.1	0.07544	0.1367	-0.07	0.2068	0.2939
RNF220	32.6	39.3	37.3	-0.15	0.03652	0.07417	0.1	0.1173	0.1838
TMEM53	5.5	7.9	7.9	-0.19	0.0131	0.03051	0.02	0.7936	0.847
KIF2C	15	14.1	18	-0.15	0.05625	0.107	-0.16	0.03084	0.05841
RPS8	4491	4446.8	4260.6	0.06	0.001702	0.004957	0.1	6.522e-07	2.72e-06
PLK3	17.2	16.9	15	0.11	0.167	0.2649	0.13	0.07503	0.1259
BTBD19	11.6	10.9	3.4	0.6	2.898e-16	3.206e-15	0.59	1.197e-16	1.068e-15
EIF2B3	18.2	20.4	23.7	-0.24	0.001736	0.00505	-0.1	0.1625	0.2405
HECTD3	13.8	13.2	11.2	0.15	0.05561	0.1059	0.15	0.04512	0.08143
UROD	47.5	56.9	43.4	0.1	0.1236	0.2067	0.36	5.547e-09	2.872e-08
MUTYH	5.3	4.1	5.2	0	0.9729	0.9822	-0.08	0.2501	0.3437
TOE1	6.5	5.7	6.2	0.02	0.7641	0.8387	-0.02	0.7504	0.8124
MMACHC	1.5	3.2	3.4	-0.18	0.002446	0.006864	0	0.9614	0.972
PRDX1	286.6	266.7	315.6	-0.14	0.002369	0.006662	-0.17	0.0001862	0.0005581
AKR1A1	79	87.6	77.1	0.02	0.699	0.7883	0.21	0.0002078	0.000618
NASP	37.2	32.5	35	0.06	0.3712	0.4967	-0.03	0.6291	0.7142
GPBP1L1	38.2	35.1	26.7	0.37	1.734e-07	9.404e-07	0.32	2.373e-06	9.269e-06
TMEM69	13.8	14.3	17.1	-0.17	0.02914	0.0612	-0.11	0.1457	0.2199
IPP	7.4	7.7	7	0.03	0.7059	0.7939	0.08	0.2879	0.3842
MAST2	23.1	24.9	27.9	-0.18	0.0126	0.02947	-0.07	0.3131	0.4115
PIK3R3	9.6	6.8	3.3	0.48	3.164e-11	2.446e-10	0.31	5.366e-06	2.001e-05
TSPAN1	1.3	1.9	0.7	0.07	0.09972	0.1728	0.13	0.002436	0.006042
POMGNT1	50.4	58.7	39.6	0.27	3.724e-05	0.0001478	0.49	5.881e-16	5.044e-15
LURAP1	6.1	7.2	9.6	-0.25	0.001287	0.003863	-0.15	0.04703	0.08439
RAD54L	5.6	5.4	6.7	-0.09	0.2305	0.3427	-0.08	0.2646	0.3592
LRRC41	42.5	45.9	45.5	-0.08	0.2314	0.3435	0.05	0.3917	0.4921
UQCRH	403.1	432.9	368	0.12	0.0002665	0.0009168	0.27	1.021e-17	9.696e-17
NSUN4	13.3	10.9	9.8	0.21	0.008613	0.02098	0.1	0.2045	0.2913
MKNK1	18.8	21.8	21.8	-0.13	0.08164	0.1465	0.04	0.597	0.6853
MOB3C	4.3	3.5	3.8	0.05	0.4823	0.6025	-0.01	0.9211	0.9438
ATPAF1	42.3	44.9	63.4	-0.48	2.567e-13	2.347e-12	-0.36	6.087e-09	3.14e-08
EFCAB14	37.4	38.9	36.6	0.02	0.7845	0.8539	0.11	0.08865	0.1447
STIL	11.4	9.5	11.6	-0.02	0.8653	0.9118	-0.11	0.1566	0.2334
CMPK1	167.6	155	143.9	0.2	5.924e-05	0.0002276	0.15	0.001783	0.004549
FOXD2-AS1	0.7	0.7	1.3	-0.06	0.1267	0.2109	-0.06	0.1254	0.1942
SPATA6	7.3	5.8	4.7	0.2	0.006928	0.01734	0.11	0.1194	0.1864
FAF1	21.1	20.1	26.8	-0.23	0.00225	0.006382	-0.23	0.001232	0.00325
CDKN2C	40.8	27.8	61.7	-0.48	1.072e-11	8.618e-11	-0.84	2.769e-33	4.71e-32
RNF11	158.2	175.2	137.9	0.18	0.0002737	0.0009386	0.37	2.674e-15	2.197e-14
EPS15	32.6	33.9	37	-0.14	0.04809	0.09385	-0.05	0.4469	0.547
OSBPL9	26.1	27	22.6	0.13	0.07855	0.1416	0.21	0.003142	0.007628
NRDC	90.8	96.8	98.5	-0.11	0.05833	0.1102	0.03	0.6294	0.7143
RAB3B	84.6	61	143.4	-0.69	2.097e-31	4.402e-30	-1.04	1.197e-65	4.52e-64
TXNDC12	38.5	41.1	45.6	-0.19	0.004252	0.01124	-0.07	0.2657	0.3603
KTI12	6.3	7.6	7.2	-0.07	0.3838	0.5095	0.05	0.4963	0.594
BTF3L4	51.2	58.6	51.5	-0.01	0.8668	0.9128	0.2	0.0008663	0.002343
ZFYVE9	14.3	15.9	16.9	-0.14	0.07943	0.143	-0.02	0.8417	0.8837
CC2D1B	12.4	10.7	8.7	0.22	0.003606	0.00971	0.15	0.03824	0.0706
ORC1	3.3	2.7	4.1	-0.07	0.2629	0.3795	-0.11	0.07239	0.1221
PRPF38A	26.9	28.8	27.4	-0.02	0.773	0.8457	0.09	0.202	0.2885
TUT4	33.4	30.3	25.3	0.28	0.000112	0.0004118	0.22	0.001505	0.0039
GPX7	30.8	69.3	51.9	-0.58	4.3e-17	4.986e-16	0.39	1.287e-10	7.624e-10
COA7	11.8	11.3	11.1	0.04	0.6194	0.7246	0.04	0.6158	0.7024
ZYG11B	29.2	31.2	30.1	-0.03	0.6504	0.7495	0.08	0.24	0.3327
ECHDC2	13.8	38.9	10	0.22	0.004642	0.01214	1.24	2.205e-66	8.499e-65
SCP2	52.3	64.1	58.9	-0.14	0.02311	0.05012	0.15	0.01015	0.02202
PODN	0.5	3	0.9	-0.05	0.1701	0.2686	0.22	1.052e-05	3.766e-05
CPT2	5.3	7.4	6	-0.06	0.3943	0.5191	0.13	0.08717	0.1429
C1orf123	34.1	30.6	42.8	-0.25	0.0002535	0.0008755	-0.32	1.792e-06	7.077e-06
MAGOH	25.7	27.9	38.7	-0.42	3.074e-09	1.997e-08	-0.3	1.004e-05	3.612e-05
AL606760.1	1.3	1.2	1	0.04	0.3861	0.5111	0.03	0.4402	0.5408
LRP8	6.4	6.2	9.6	-0.23	0.003383	0.009156	-0.22	0.002589	0.006378
GLIS1	2	1.8	1.3	0.07	0.1543	0.2483	0.06	0.2166	0.3054
NDC1	17.3	14.3	14.1	0.16	0.03958	0.07934	0.04	0.5958	0.6847
YIPF1	17.4	18.8	14.3	0.16	0.04109	0.08194	0.26	0.0004532	0.001281
HSPB11	49.6	57.5	70.7	-0.43	5.159e-11	3.913e-10	-0.2	0.0008901	0.002402
LRRC42	28.5	25.6	36.3	-0.26	0.0003108	0.001054	-0.32	4.094e-06	1.553e-05
TMEM59	124.9	108.1	130.2	-0.06	0.2661	0.3834	-0.19	0.0001848	0.0005543
TCEANC2	6.1	5.4	5.8	0.03	0.7137	0.8001	-0.01	0.8979	0.926
CYB5RL	2.2	0.9	1.1	0.11	0.02184	0.04773	-0.02	0.6991	0.7711
MRPL37	141.6	140.4	157.9	-0.15	0.003221	0.008762	-0.1	0.0358	0.0666
SSBP3	23.5	18	24.4	-0.04	0.6072	0.7144	-0.24	0.001272	0.003341
ACOT11	0.7	0.4	3.3	-0.26	1.298e-06	6.352e-06	-0.29	8.235e-09	4.189e-08
TTC4	4.5	5.3	8.6	-0.31	3.729e-05	0.0001479	-0.22	0.002445	0.006062
PARS2	2.4	2.4	2.1	0.03	0.6464	0.7465	0.03	0.5227	0.6186
DHCR24	30	48.6	94.3	-1.33	1.887e-78	1.207e-76	-0.76	1.099e-32	1.805e-31
AC096536.3	2.4	2.7	1.8	0.05	0.3363	0.4605	0.1	0.08432	0.139
USP24	15	17.5	18.7	-0.18	0.02151	0.04709	-0.02	0.7939	0.8473
PLPP3	156.9	95	87	0.76	1.179e-32	2.608e-31	0.16	0.01428	0.02974
PRKAA2	1.6	5	0.8	0.09	0.05276	0.1013	0.41	1.476e-13	1.087e-12
OMA1	4.3	3.5	2.9	0.12	0.05093	0.09838	0.07	0.2359	0.3281
MYSM1	11	9.8	12.5	-0.09	0.2503	0.3651	-0.14	0.06629	0.1135
JUN	95.3	112.5	184	-0.87	9.533e-41	2.58e-39	-0.6	2.968e-23	3.582e-22
AC105277.1	0.8	0.6	3.6	-0.28	5.638e-07	2.884e-06	-0.3	1.52e-08	7.528e-08
LINC01358	0.9	0.4	5.7	-0.45	1.577e-12	1.359e-11	-0.5	2.09e-17	1.955e-16
FGGY	2.9	3	4.4	-0.14	0.0379	0.07654	-0.12	0.06861	0.1168
NFIA	16.2	15.4	12.6	0.19	0.01415	0.03266	0.19	0.01427	0.02972
TM2D1	38.8	44.6	38.1	0.01	0.8318	0.8882	0.22	0.0005584	0.001557
PATJ	3.6	3.5	5.7	-0.17	0.01563	0.03567	-0.17	0.01497	0.03099
USP1	72.9	69.4	93.9	-0.32	1.6e-06	7.722e-06	-0.32	5.95e-07	2.491e-06
DOCK7	50.8	50.8	44.4	0.15	0.02361	0.05101	0.2	0.001768	0.004514
ATG4C	5.8	3.6	5.3	0.04	0.588	0.698	-0.13	0.05102	0.09045
ALG6	3.7	3.4	2.8	0.09	0.1697	0.2682	0.07	0.2643	0.3588
ITGB3BP	14.9	14.8	17.2	-0.12	0.1405	0.2295	-0.09	0.2404	0.3331
EFCAB7	3	2	2.1	0.08	0.1698	0.2682	-0.01	0.9022	0.9292
PGM1	51.5	46	32.4	0.51	1.743e-14	1.721e-13	0.43	3.105e-11	1.937e-10
ROR1	46	27.8	15.9	1.04	4.152e-48	1.347e-46	0.55	5.995e-14	4.569e-13
CACHD1	1.1	1.2	3.2	-0.2	0.0004105	0.001361	-0.19	0.0003878	0.001108
RAVER2	4.5	4.4	1.4	0.29	6.233e-07	3.166e-06	0.3	1.161e-07	5.258e-07
JAK1	142.8	131.4	168	-0.22	2.876e-06	1.342e-05	-0.28	4.752e-09	2.475e-08
AK4	31	67.2	7.2	1.13	5.609e-51	2.016e-49	2.06	1.863e-199	4.086e-197
DNAJC6	2.8	4.9	2.1	0.06	0.2809	0.4002	0.26	2.006e-05	6.918e-05
LEPROT	86.2	100.5	65.8	0.33	4.029e-08	2.351e-07	0.58	2.112e-24	2.674e-23
LEPR	7.4	4.4	3.9	0.27	0.000131	0.0004763	0.06	0.3587	0.4582
PDE4B	5	5.1	20.8	-0.93	1.754e-30	3.541e-29	-0.91	5.559e-31	8.751e-30
SGIP1	14.1	28.5	9.1	0.29	0.0001642	0.0005854	0.96	4.44e-39	9.124e-38
TCTEX1D1	3	9.1	7.5	-0.37	3.08e-07	1.62e-06	0.14	0.06567	0.1126
WDR78	1.3	1.6	1.3	0	0.9437	0.9643	0.04	0.3728	0.4726
MIER1	59.9	58	55.4	0.09	0.1687	0.2672	0.1	0.09074	0.1477
SLC35D1	14.1	12.7	9.6	0.26	0.0008089	0.002529	0.22	0.003718	0.008898
SERBP1	298.6	281.4	347.1	-0.22	5.357e-08	3.085e-07	-0.24	1.533e-09	8.333e-09
GADD45A	56.2	68.4	51.2	0.11	0.104	0.1788	0.39	3.683e-10	2.101e-09
GNG12	188.9	240.7	206.1	-0.13	0.003358	0.009096	0.26	5.254e-10	2.96e-09
DIRAS3	1	1.1	14.5	-1.01	6.117e-40	1.628e-38	-1	1.762e-41	3.879e-40
WLS	37.9	35.4	9.7	1.17	1.558e-56	6.457e-55	1.15	6.575e-57	2.117e-55
DEPDC1	45.7	36.3	47.6	-0.06	0.4585	0.5812	-0.26	0.0003697	0.001059
LRRC40	8.1	8	7.9	0.02	0.8339	0.8895	0.03	0.6943	0.7676
SRSF11	119.3	120.8	134.7	-0.17	0.001408	0.004191	-0.1	0.04857	0.08675
ANKRD13C	21.2	22.8	20.1	0.05	0.5564	0.6711	0.15	0.03663	0.06797
HHLA3	5.7	8.3	9.6	-0.28	0.0003595	0.001206	-0.06	0.4132	0.5141
CTH	1.4	2.7	0.9	0.06	0.1689	0.2673	0.2	5.596e-05	0.0001804
PTGER3	0.1	0.2	1.9	-0.19	7.638e-07	3.847e-06	-0.17	1.234e-05	4.386e-05
ZRANB2	52.8	51.7	48	0.1	0.106	0.1815	0.13	0.0345	0.06445
NEGR1	24.8	33	14.9	0.44	6.642e-09	4.179e-08	0.77	4.536e-27	6.218e-26
FPGT	2.2	3	2.6	-0.04	0.4911	0.6119	0.05	0.379	0.4792
CRYZ	9.4	20.7	20.2	-0.58	3.63e-13	3.277e-12	0.06	0.4323	0.5324
TYW3	63.6	64.6	58	0.1	0.09865	0.1712	0.18	0.00296	0.007215
ACADM	16.4	19.1	17.5	-0.06	0.4571	0.58	0.11	0.1454	0.2195
RABGGTB	29.2	30.7	22.9	0.23	0.001505	0.00444	0.33	2.701e-06	1.048e-05
ST6GALNAC5	2.6	3.8	50.3	-2.06	6.819e-142	1.033e-139	-1.94	2.889e-138	3.063e-136
PIGK	16.5	14.1	14.2	0.12	0.1399	0.2288	0.03	0.7544	0.816
AK5	70.8	97.8	98.9	-0.43	9.106e-13	8.005e-12	0.03	0.5689	0.6612
AC118549.1	35.1	35.4	33.8	0.03	0.6227	0.7273	0.09	0.179	0.2605
USP33	31.5	25.7	35.4	-0.13	0.07499	0.1361	-0.29	3.924e-05	0.0001295
MIGA1	19.5	24.5	19.2	0.01	0.8698	0.915	0.26	0.0003261	0.0009438
NEXN-AS1	5.5	3.6	2.8	0.23	0.0004907	0.001605	0.09	0.1391	0.2116
NEXN	173.4	196.4	109.4	0.6	3.849e-29	7.429e-28	0.82	2.608e-57	8.464e-56
FUBP1	30	25.2	37.8	-0.25	0.0004657	0.001529	-0.38	4.749e-08	2.232e-07
DNAJB4	58.4	57.8	68.7	-0.2	0.002263	0.006417	-0.16	0.009775	0.02128
GIPC2	0.5	0.3	2.5	-0.21	1.38e-05	5.821e-05	-0.23	5.931e-07	2.487e-06
PTGFR	4.6	6.2	13.2	-0.59	8.009e-14	7.603e-13	-0.44	7.368e-09	3.77e-08
IFI44	8.9	4.9	7.3	0.11	0.146	0.2371	-0.17	0.02157	0.04257
ADGRL4	19.5	37.3	10.9	0.45	5.907e-09	3.739e-08	1.13	2.743e-56	8.701e-55
ADGRL2	17.2	16.5	10.7	0.35	5.474e-06	2.452e-05	0.36	2.508e-06	9.767e-06
TTLL7	26.2	23.5	23.1	0.12	0.1161	0.1959	0.05	0.4344	0.5347
AL359504.2	2.3	2.1	2.6	-0.03	0.6612	0.7591	-0.04	0.4693	0.5684
PRKACB	27.7	27	29.2	-0.06	0.4504	0.5736	-0.03	0.6228	0.7091
RPF1	12.3	10.7	12.8	-0.04	0.6543	0.753	-0.1	0.1887	0.2726
GNG5	983.5	1016.3	974.9	0	0.9539	0.9709	0.09	7.975e-05	0.0002521
CTBS	30.3	42.7	28.8	0.05	0.5047	0.6251	0.46	2.524e-12	1.705e-11
SSX2IP	19	16.5	56.7	-1.14	1.15e-54	4.528e-53	-1.22	2.594e-67	1.012e-65
SYDE2	2.3	3	3	-0.07	0.2352	0.3483	0	0.9558	0.968
C1orf52	41.9	44.1	29.6	0.36	1.297e-07	7.151e-07	0.47	8.583e-13	6.009e-12
BCL10	26.9	32.3	20.3	0.26	0.0004474	0.001474	0.49	3.018e-12	2.026e-11
DDAH1	130.8	149.5	112.4	0.19	0.0006237	0.002	0.42	7.364e-15	5.891e-14
